mode,n,avg_turnaround,avg_response,avg_wait,avg_run,avg_sleep,avg_sched,total_turnaround,total_response,total_wait,total_run,total_sleep,total_sched
2,8,4.625,0.0,5.5,2.75,0.375,7.875,37,0,44,22,3,63
2,8,4.375,0.0,4.625,2.625,0.375,5.125,35,0,37,21,3,41
2,8,4.125,0.0,4.375,2.625,0.0,5.625,33,0,35,21,0,45
2,8,4.5,0.0,3.375,2.875,1.75,4.875,36,0,27,23,14,39
2,8,3.875,0.0,3.25,2.625,0.5,4.25,31,0,26,21,4,34
2,8,5.5,0.0,7.0,3.0,0.5,5.75,44,0,56,24,4,46
2,8,5.0,0.0,4.0,3.0,2.5,5.375,40,0,32,24,20,43
2,8,5.5,0.0,5.75,2.75,0.875,4.75,44,0,46,22,7,38
2,8,4.375,0.5,5.625,2.625,0.0,4.5,35,4,45,21,0,36
2,8,4.375,0.0,4.75,2.875,0.0,4.625,35,0,38,23,0,37
2,8,4.875,0.0,6.875,2.625,0.5,6.375,39,0,55,21,4,51
2,8,4.875,0.0,5.5,2.875,0.625,5.375,39,0,44,23,5,43
2,8,4.25,0.0,5.0,2.625,0.25,5.625,34,0,40,21,2,45
2,8,5.0,0.375,6.75,2.5,0.375,4.375,40,3,54,20,3,35
2,8,4.625,0.0,5.75,2.75,0.0,5.5,37,0,46,22,0,44
2,8,3.875,0.625,4.625,2.5,0.0,4.0,31,5,37,20,0,32
2,8,4.25,0.0,4.375,2.875,0.0,5.75,34,0,35,23,0,46
2,8,4.875,0.0,4.625,2.875,1.625,5.375,39,0,37,23,13,43
2,8,3.875,0.0,4.0,2.625,0.0,4.5,31,0,32,21,0,36
2,8,4.5,0.625,5.5,2.75,0.125,4.5,36,5,44,22,1,36
2,8,4.25,0.0,4.375,2.625,0.375,4.875,34,0,35,21,3,39
2,8,5.0,0.0,6.0,2.875,0.25,5.375,40,0,48,23,2,43
2,8,3.75,0.0,3.375,2.75,0.0,4.625,30,0,27,22,0,37
2,8,4.625,0.0,5.5,2.75,0.625,5.75,37,0,44,22,5,46
2,8,4.75,0.0,5.375,2.75,1.375,5.375,38,0,43,22,11,43
2,8,4.75,0.0,4.625,2.75,1.375,5.25,38,0,37,22,11,42
2,8,5.5,0.0,7.625,2.625,1.0,5.125,44,0,61,21,8,41
2,8,5.125,0.0,5.75,2.875,0.875,6.25,41,0,46,23,7,50
2,8,4.625,0.0,5.0,2.75,0.625,5.625,37,0,40,22,5,45
2,8,3.625,0.0,3.875,2.25,0.125,4.25,29,0,31,18,1,34
2,8,5.5,0.75,8.75,2.625,0.0,5.25,44,6,70,21,0,42
2,8,4.875,0.0,4.5,3.0,1.125,5.875,39,0,36,24,9,47
2,8,5.25,0.75,7.375,2.625,0.375,5.5,42,6,59,21,3,44
2,8,4.75,0.0,5.625,2.875,0.5,5.375,38,0,45,23,4,43
2,8,4.5,0.625,5.625,2.75,0.125,4.75,36,5,45,22,1,38
2,8,4.0,0.0,3.75,2.625,0.5,5.125,32,0,30,21,4,41
2,8,4.5,0.0,4.5,2.5,1.25,4.875,36,0,36,20,10,39
2,8,4.5,0.0,5.0,2.625,0.625,5.375,36,0,40,21,5,43
2,8,3.875,0.0,3.625,2.5,0.75,5.25,31,0,29,20,6,42
2,8,5.125,0.0,5.25,2.875,1.875,6.125,41,0,42,23,15,49
2,8,4.5,0.0,4.375,2.5,1.625,5.375,36,0,35,20,13,43
2,8,4.625,0.625,6.25,2.5,0.0,4.5,37,5,50,20,0,36
2,8,4.25,0.0,5.25,2.5,0.0,4.875,34,0,42,20,0,39
2,8,4.875,0.0,6.375,2.625,0.0,5.25,39,0,51,21,0,42
2,8,3.375,0.0,3.25,2.375,0.0,4.25,27,0,26,19,0,34
2,8,4.75,0.0,5.375,2.75,0.75,4.625,38,0,43,22,6,37
2,8,4.25,0.0,4.125,2.75,0.75,5.25,34,0,33,22,6,42
2,8,5.0,0.75,6.875,2.625,0.125,5.125,40,6,55,21,1,41
2,8,4.125,0.0,4.375,2.625,0.0,5.125,33,0,35,21,0,41
2,8,4.875,0.0,5.75,2.75,0.625,5.625,39,0,46,22,5,45
2,8,4.125,0.0,4.375,2.875,0.0,4.75,33,0,35,23,0,38
2,8,4.25,0.0,4.125,2.625,0.625,5.5,34,0,33,21,5,44
2,8,4.75,0.0,5.375,2.625,1.25,4.625,38,0,43,21,10,37
2,8,4.375,0.0,3.75,2.875,1.125,6.125,35,0,30,23,9,49
2,8,4.75,0.75,5.25,2.5,0.0,4.5,38,6,42,20,0,36
2,8,4.625,0.5,4.625,2.75,0.0,5.75,37,4,37,22,0,46
2,8,4.875,0.0,6.0,2.5,0.875,5.625,39,0,48,20,7,45
2,8,4.125,0.0,4.5,2.375,0.625,5.25,33,0,36,19,5,42
2,8,4.125,0.5,4.625,2.625,0.0,4.125,33,4,37,21,0,33
2,8,4.5,0.0,4.875,2.625,0.75,4.75,36,0,39,21,6,38
2,8,4.375,0.75,4.0,2.5,0.25,5.0,35,6,32,20,2,40
2,8,5.0,0.0,4.625,2.75,2.625,6.125,40,0,37,22,21,49
2,8,4.25,0.0,4.625,2.875,0.0,5.5,34,0,37,23,0,44
2,8,4.875,0.0,4.875,2.75,1.5,5.5,39,0,39,22,12,44
2,8,4.25,0.0,4.625,2.75,0.125,5.0,34,0,37,22,1,40
2,8,5.125,0.875,5.625,2.625,0.0,4.75,41,7,45,21,0,38
2,8,4.625,0.0,6.5,2.75,0.0,5.625,37,0,52,22,0,45
2,8,3.625,0.0,4.25,2.5,0.0,4.875,29,0,34,20,0,39
2,8,4.875,0.875,5.875,2.5,0.0,4.75,39,7,47,20,0,38
2,8,4.5,0.0,5.625,2.75,0.0,5.0,36,0,45,22,0,40
2,8,5.0,0.0,6.75,2.875,0.0,5.0,40,0,54,23,0,40
2,8,4.625,0.875,5.375,2.375,0.0,4.375,37,7,43,19,0,35
2,8,4.5,0.0,6.0,2.5,0.0,5.0,36,0,48,20,0,40
